"Timestamp","Age group","Gender","Medium of School ","How difficult is it for you to understanding English conversation?
ఆంగ్ల సంభాషణను అర్థం చేసుకోవడం మీకు ఎంత కష్టం?","How difficult do you find it to speak English confidently while discussing passages or articles?
ప్యాసేజ్‌లు లేదా వ్యాసాల గురించి మాట్లాడేటప్పుడు, ఆత్మవిశ్వాసంతో ఇంగ్లీష్ మాట్లాడటం మీకు ఎంత కష్టం?","How difficult is it for you to write sentences in English?
మీకు ఆంగ్లంలో వాక్యాలు రాయడం ఎంత కష్టం?","How difficult is it for you to read and understand English passages or articles?
ఇంగ్లీష్ పేరాగ్రాఫ్‌లు లేదా వ్యాసాలను చదివి అర్థం చేసుకోవడం మీకు ఎంత కష్టం?","How difficult is it for you to use English due to the influence of your mother tongue (Telugu)?
మీ మాతృభాష (తెలుగు) ప్రభావం వల్ల మీకు ఇంగ్లీష్ ఉపయోగించడం ఎంత కష్టంగా ఉంటుంది?","How difficult is it for you to understand lectures in English?
ఇంగ్లీషులో ఉపన్యాసాలను అర్థం చేసుకోవడం మీకు ఎంత కష్టం?","How difficult is it for you to watch English movies without subtitles?
సబ్‌టైటిల్స్ లేకుండా ఇంగ్లీష్ సినిమాలు చూడటం మీకు ఎంత కష్టం?","How difficult is it for you to watch English movies even with subtitles?
సబ్‌టైటిల్స్‌తో చూసినప్పటికీ, మీకు ఇంగ్లీష్ సినిమాలు చూడటం ఎంత కష్టంగా ఉంటుంది?","How do you feel while learning English?
ఇంగ్లీష్ నేర్చుకునేటప్పుడు మీకు ఎలా అనిపిస్తుంది?","As a Telugu medium student, how difficult was it for you to switch to an English-Medium Curriculum in higher studies?
తెలుగు మాధ్యమంలో చదివిన విద్యార్థిగా, ఉన్నత విద్యలో ఆంగ్ల మాధ్యమ పాఠ్య ప్రణాళికకు మారడం మీకు ఎంత కష్టంగా అనిపించింది?","How difficult do you find it to work in other Indian states due to language differences?
భాషా భేదాల కారణంగా ఇతర భారతీయ రాష్ట్రాలలో పని చేయడం మీకు ఎంత కష్టంగా అనిపిస్తుంది?","How difficult do you find it to work in other countries due to language differences?
భాషా భేదాల కారణంగా ఇతర దేశాలలో పనిచేయడం మీకు ఎంత కష్టంగా అనిపిస్తుంది?","How difficult do you find it to study in other Indian states or other countries due to language differences?
భాషా భేదాల కారణంగా ఇతర భారతీయ రాష్ట్రాలలో లేదా ఇతర దేశాలలో చదువుకోవడం మీకు ఎంత కష్టంగా అనిపిస్తుంది?","How difficult do you find it to make friends who have different native languages?
వేర్వేరు మాతృభాషలు ఉన్నవారితో స్నేహం చేయడం మీకు ఎంత కష్టంగా అనిపిస్తుంది?"
"2026/01/24 10:15:44 PM GMT+5:30","15-19","Male","English medium","2","5","3","2","4","1","2","1","2","1","4","4","4","3"
"2026/01/24 10:19:50 PM GMT+5:30","20-25","Female","English medium","2","3","1","2","3","1","3","1","1","1","2","3","2","2"
"2026/01/24 10:26:03 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","1","1","5","5","4","4","4","5"
"2026/01/24 10:31:03 PM GMT+5:30","20-25","Male","English medium","1","4","1","1","3","1","2","1","2","1","4","4","4","3"
"2026/01/24 10:35:14 PM GMT+5:30","20-25","Male","English medium","1","4","3","1","1","1","2","1","2","1","4","4","3","3"
"2026/01/24 10:44:45 PM GMT+5:30","15-19","Female","English medium","3","3","2","1","3","3","4","3","3","5","4","4","4","3"
"2026/01/24 10:56:46 PM GMT+5:30","15-19","Male","English medium","1","2","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/24 10:57:30 PM GMT+5:30","20-25","Male","English medium","1","2","1","2","2","1","1","1","1","1","1","1","1","1"
"2026/01/24 10:58:10 PM GMT+5:30","15-19","Female","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/24 10:58:42 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/24 10:59:15 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/24 10:59:44 PM GMT+5:30","20-25","Male","English medium","1","2","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/24 11:32:16 PM GMT+5:30","15-19","Male","English medium","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2026/01/25 12:36:15 AM GMT+5:30","15-19","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/25 1:10:58 AM GMT+5:30","20-25","Male","English medium","2","4","2","2","3","2","3","3","3","3","3","3","2","2"
"2026/01/25 8:06:26 AM GMT+5:30","15-19","Female","English medium","1","2","1","2","1","3","1","1","2","4","5","5","3","1"
"2026/01/25 8:07:06 AM GMT+5:30","15-19","Female","English medium","1","2","2","1","1","2","2","3","3","1","1","4","5","4"
"2026/01/25 8:11:08 AM GMT+5:30","15-19","Male","English medium","5","1","2","2","3","2","1","1","1","3","4","5","5","1"
"2026/01/25 8:15:36 AM GMT+5:30","15-19","Female","English medium","1","1","2","4","1","2","3","1","1","1","1","2","2","2"
"2026/01/25 8:17:45 AM GMT+5:30","20-25","Female","English medium","3","3","4","3","3","3","3","3","3","3","3","3","3","3"
"2026/01/25 8:25:55 AM GMT+5:30","15-19","Male","English medium","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2026/01/25 8:47:49 AM GMT+5:30","20-25","Male","Telugu medium","3","3","2","2","2","2","3","2","3","3","3","2","2","3"
"2026/01/25 8:51:36 AM GMT+5:30","15-19","Female","English medium","1","1","1","1","1","1","1","1","5","1","4","4","4","3"
"2026/01/25 9:08:43 AM GMT+5:30","15-19","Female","English medium","2","3","4","2","3","3","5","3","1","3","3","4","3","3"
"2026/01/25 9:14:39 AM GMT+5:30","15-19","Male","English medium","2","2","2","2","2","2","3","2","2","2","2","2","2","2"
"2026/01/25 9:21:13 AM GMT+5:30","15-19","Female","English medium","2","4","2","2","2","2","4","4","1","2","4","4","4","2"
"2026/01/25 9:28:01 AM GMT+5:30","15-19","Female","English medium","2","3","2","1","3","2","3","2","2","3","2","3","1","2"
"2026/01/25 9:31:10 AM GMT+5:30","15-19","Female","English medium","2","4","3","2","3","2","3","3","3","4","3","4","4","3"
"2026/01/25 9:43:12 AM GMT+5:30","15-19","Female","English medium","2","4","1","1","2","2","1","1","1","1","1","1","1","1"
"2026/01/25 9:44:32 AM GMT+5:30","20-25","Male","English medium","2","3","2","1","3","2","2","1","2","4","4","4","3","4"
"2026/01/25 10:00:13 AM GMT+5:30","15-19","Male","English medium","2","3","2","2","4","3","4","3","4","3","4","4","4","2"
"2026/01/25 10:04:04 AM GMT+5:30","15-19","Male","English medium","3","5","5","4","4","4","5","4","5","4","4","4","5","3"
"2026/01/25 10:15:13 AM GMT+5:30","15-19","Female","English medium","1","4","2","1","5","2","3","1","2","1","1","4","5","5"
"2026/01/25 10:47:17 AM GMT+5:30","15-19","Male","English medium","2","4","3","3","4","3","5","3","2","3","2","3","3","3"
"2026/01/25 11:05:30 AM GMT+5:30","15-19","Male","English medium","1","3","1","1","2","2","2","1","1","1","1","1","1","1"
"2026/01/25 11:06:54 AM GMT+5:30","15-19","Female","English medium","2","4","1","1","3","2","2","1","2","3","4","3","3","1"
"2026/01/25 11:27:23 AM GMT+5:30","20-25","Male","English medium","1","1","1","3","2","4","3","1","4","4","1","1","4","2"
"2026/01/25 11:48:23 AM GMT+5:30","20-25","Female","Telugu medium","4","4","3","2","2","2","2","3","4","4","2","2","2","2"
"2026/01/25 11:53:25 AM GMT+5:30","15-19","Male","English medium","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/25 11:54:12 AM GMT+5:30","15-19","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/25 12:08:07 PM GMT+5:30","15-19","Female","English medium","3","3","2","2","2","2","2","2","3","4","4","4","2","2"
"2026/01/25 12:21:13 PM GMT+5:30","15-19","Female","English medium","3","3","5","1","3","1","2","4","1","3","1","4","2","1"
"2026/01/25 12:27:12 PM GMT+5:30","15-19","Male","Both","3","3","1","2","4","5","4","3","4","3","4","2","2","1"
"2026/01/25 12:30:03 PM GMT+5:30","20-25","Male","Both","4","3","3","3","4","2","4","3","3","4","4","3","5","3"
